Город;Ведущий факультет;Ведущая кафедра;Направление;профиль;Группа;ФО;Код дисциплины;Дисциплина;Курс;Семестр;Суд Бюдж;Студ Ком;Студ сум;Поток (название /номер);ур (03-бак, 04-маг, 05-спец, 06-асп);Учитывать;ЗЕ;практи Маг;практи Бак, Спец;НИР Маг;НИР Бак, Спец;практ Асп;НИР Aсп;НИР и прак сум;лекции без потока;лекции с потоком;Текущие консультации;Практические занятия;лабораторные;КР в часах;КП в часах;Коллокв в часах;РГР в часах;Реферат ;Зачет в часах;ЗаО в часах;ЗаО по практикам (не сумминуется в итоговой сумме, выделен для информации);Экзамен в часах;Экз Консульт;Б;К;итого;Выпускающий факультет;Выпускающая кафедра;Кафедры до реорганизации;ПЛАН (без изменений или новый в 2021);Примечания при наличии изменений
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.04 Прикладная математика;0;ПМ-453;Очная;Б2.В.02;Преддипломная практика;4;Восьмой семестр;12;0;12;;3;1;9;0;51.84;0;0;0;0;51.84;0;0;0;0.00;0.00;0;0;0;0;0;0;0;04.фев;0;0;51.84;0.00;51.84;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.04 Прикладная математика;0;ПМ-257;Очная;Б1.О.10;Дифференциальные уравнения;2;Четвертый семестр;18;0;18;157;3;1;7;0;0;0;0;0;0;0;0;0;0;54.00;0.00;54;0;0;0;0;04.май;0;0;0;0;112.50;0.00;112.50;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;Поручение от ВВТиС на ИИПМИ от 27.06.2022
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.03.01 Математика и компьютерные науки;0;МКН-415;Очная;Б1.В.ДВ.02.01;Численные методы решения экстремальных задач;4;Седьмой семестр;11;0;11;;3;1;5;0;0;0;0;0;0;0;24;24;02.апр;0.00;16.00;0;0;0;0;0;0;0;0;05.мар;2;49.70;0.00;49.70;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.03.01 Математика и компьютерные науки;0;МКН-217;Очная;Б1.О.15;Программирование;2;Третий семестр;25;0;25;141;3;1;4;0;0;0;0;0;0;0;20;6.666666667;2;0.00;40.00;75;0;0;0;0;июн.25;0;0;0;0;129.92;0.00;129.92;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.03.01 Математика и компьютерные науки;0;МКН-217;Очная;Б1.В.ДВ.01.01;Прикладное программное обеспечение;2;Четвертый семестр;25;0;25;144;3;1;3;0;0;0;0;0;0;0;16;8;01.июн;0.00;40.00;0;0;0;0;0;июн.25;0;0;0;0;55.85;0.00;55.85;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;11.05.04 Инфокоммуникационные технологии и системы специальной связи;0;ИКТ-135С;Очная;Б1.О.24;Дискретная математика;1;Первый семестр;25;1;26;ДМ-11;5;1;2;0;0;0;0;0;0;0;18;9;01.авг;24.00;0.00;0;0;0;0;0;06.май;0;0;0;0;39.71;янв.59;41.30;АВИЭТ;Кафедра телекоммуникационных систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;38.05.01 Экономическая безопасность;0;ФЭБ-250С;Очная;Б1.В.ДВ.02.01;Численные методы решения экономических задач;2;Третий семестр;0;19;19;159;5;1;2;0;0;0;0;0;0;0;10;5;1;14.00;0.00;0;0;0;0;0;апр.75;0;0;0;0;0.00;24.75;24.75;ИНЭК;Кафедра экономики предпринимательства;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.04.01 Математика и компьютерные науки;0;МКН-201М;Очная;Б2.В.03;Преддипломная практика;2;Четвертый семестр;12;0;12;;4;1;12;96;0;0;0;0;0;96;0;0;0;0.00;0.00;0;0;0;0;0;0;0;04.фев;0;0;96.00;0.00;96.00;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;ВВТиС;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;02.04.01 Математика и компьютерные науки;0;МКН-102М;Очная;Б1.О.05;Методы оптимизации;1;Второй семестр;15;0;15;;4;1;5;0;0;0;0;0;0;0;20;20;2;36.00;0.00;0;0;0;0;0;0;0;0;06.май;2;66.50;0.00;66.50;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.02 Прикладная математика и информатика;0;ПМИ-452;Очная;Б1.В.05;Методы оптимизации;4;Седьмой семестр;7;0;7;153;3;1;6;0;0;0;0;0;0;0;24;8;02.апр;16.00;16.00;0;0;0;0;0;0;0;0;04.янв;2;48.50;0.00;48.50;ФИРТ;Кафедра искусственного интеллекта и перспективных математических исследований;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.02 Прикладная математика и информатика;0;ПМИ-354;Очная;Б1.В.01;Численные методы;3;Пятый семестр;20;2;22;149;3;1;6;0;0;0;0;0;0;0;32;10.66666667;03.фев;10.00;40.00;0;0;0;0;0;05.май;0;0;08.июн;2;72.70;июл.27;79.97;ФИРТ;Кафедра искусственного интеллекта и перспективных математических исследований;0;;0
Уфа;ФИРТ;Кафедра высокопроизводительных вычислительных технологий и систем;01.03.02 Прикладная математика и информатика;0;ПМИ-256;Очная;Б1.В.03;Компьютерная графика;2;Третий семестр;23;0;23;140;3;1;3;0;0;0;0;0;0;0;16;5.333333333;01.июн;0.00;40.00;0;0;0;0;0;май.75;0;0;0;0;52.68;0.00;52.68;ФИРТ;Кафедра искусственного интеллекта и перспективных математических исследований;0;;0
